GLCoat.dat  07/21/19   286PeachTree Accounting15  ???         
10000          Petty Cash                         A           
10100          Cash on Hand                       A           
10200          Advantage Design Checking          A           
10210          ADH Paul Beaullieu Account         A           
10220          Home Bank Account                  A           
10230          Home Bank Trucking                 A           
10240          Home Bank Scott Tomsu              A           
10250          FBT ADC                            A           
10300          Payroll Checking Account           A           
10400          Savings Account                    A           
10500          Cash-Trustee Account               A           
10600          Investments-Money Market           A           
10700          Investments-Cert. of Deposit       A           
11000          Accounts Receivable                A           
11100          Contracts Receivable               A           
11400          Other Receivables                  A           
11500          Allowance for Doubtful Account     A           
12000          Inventory                          A           
14000          Prepaid Expenses                   A           
14100          Employee Advances                  A           
14200          Notes Receivable-Current           A           
14300          Work in Progress                   A           
14400          Matls-Unused & Unassigned          A           
14500          Refundable Deposits                A           
14700          Other Current Assets               A           
15000          Furniture and Fixtures             A           
15100          Equipment                          A           
15200          Automobiles                        A           
15300          Other Depreciable Property         A           
15400          Leasehold Improvements             A           
15500          Building                           A           
15600          Building Improvements              A           
16000          Adapt High Performance             A           
16500          STFU Motorcycles                   A           
16900          Land                               A           
17000          Accum. Depreciation - Furnitur     A           
17100          Accum. Depreciation - Equipmen     A           
17200          Accum. Depreciation - Automobi     A           
17300          Accum. Depreciation - Other        A           
17400          Accum. Depreciation - Leasehol     A           
17500          Accum. Depreciation - Building     A           
17600          Accum. Depreciation - Bldg Imp     A           
19000          Deposits                           A           
19100          Organization Costs                 A           
19150          Accum. Amortiz. - Org. Costs       A           
19200          Note Receivable-Noncurrent         A           
19300          Land-Improved Lots                 A           
19350          Land-Unimproved Lots               A           
19900          Other Noncurrent Assets            A           
20000          Accounts Payable                   L           
21003          ST Loan-Jerome B.-601 Sugartra     L           
21004          ST Loan-Farmers-115 MerchantPB     L           
21005          ST Loan-Farmers-303 Summerfest     L           
21006          ST Loan-Ben C-115 Anslem           L           
21007          ST Loan-Farmers-200 Summerfest     L           
21008          ST Loan-Farmers-109 Festival       L           
21009          ST Loan-Farmers-124 Festival       L           
21010          ST Loan-Farmers-102 Summerfest     L           
21011          ST Loan-Home Bank 210 Barksdal     L           
21012          ST Loan-Home Bank 207 Waterber     L           
21013          ST Loan - Farmers - Evangeline     L           
21014          ST Loan-Farmers-204 Summerfest     L           
21015          ST Loan - Farmers-112 Copeland     L           
21016          ST Loan - Home Bank -116 Cranb     L           
21017          ST Loan-farmers-114 cranberry      L           
21018          ST Loan - Farmers 102 Solano       L           
21019          ST Loan-Home Bank-205 Waterber     L           
21020          ST-Farmers-206 Santa Cruz          L           
21021          ST Loan-Home Bank-209 Portsmou     L           
21022          ST Loan-Farmers-109 Portsmou       L           
21023          ST Loan-Reed-6119 Mockingbird      L           
21024          ST loan-Farmers-106 Fanfare        L           
21025          ST loan-Farmers-409 Pavilion       L           
21026          ST Loan-Home Bank-114 Colchest     L           
21027          ST Loan-Farmers-407 Pavilion       L           
21028          ST Loan-Farmers-101 Carnival       L           
21029          ST Loan-Farmers-400 Pavilion       L           
21030          st loan-103 pinhook                L           
21031          ST Loan-Farmers-405 Breaux Rd      L           
21032          ST Loan-Farmers-108 Katy Beth      L           
21033          ST Loan-Farmers-102 Katy Beth      L           
21034          ST LOan-Home B-104 Soaring Cov     L           
21035          ST Loan-Farmer-102 Pel hav cov     L           
21036          ST Loan-Farmers-303 Pavilion       L           
21037          ST Loan-Home-112 Rue Rideau        L           
21038          ST loan-Farmers-108 chevalier      L           
21039          ST Loan-Farmers-405 Pavilion       L           
21040          ST Loan-Farmers-120 Peak Run       L           
21041          ST Loan-Home Bank-102 Summit C     L           
21042          ST Loan-Matt-108 Summit Crest      L           
21043          ST Loan-Josh-106 Peak Run          L           
21044          ST Loan-Farmers-205 Chevalier      L           
